State,County,year,congestion_events,avg_severity,avg_delay_typical,avg_delay_freeflow,slow_events,moderate_events,fast_events,slow_event_percentage
AL,Autauga,2017,29,1.31,3.33,4.01,6,9,14,20.69
AL,Autauga,2018,74,1.42,3.28,3.5,14,19,41,18.92
AL,Autauga,2019,62,1.29,2.74,2.76,16,12,34,25.81
AL,Autauga,2020,15,0.93,2.87,2.87,1,8,6,6.67
AL,Autauga,2021,29,1.38,3.03,3.03,1,10,18,3.45
AL,Autauga,2022,14,1.5,5.5,5.5,0,6,8,0.0
AL,Baldwin,2017,147,1.23,2.53,2.81,13,32,102,8.84
AL,Baldwin,2018,588,1.15,2.2,2.56,23,133,432,3.91
AL,Baldwin,2019,370,1.31,3.12,3.34,122,91,157,32.97
AL,Baldwin,2020,182,0.81,4.41,4.72,18,90,74,9.89
AL,Baldwin,2021,279,1.02,4.0,4.27,26,87,166,9.32
AL,Baldwin,2022,143,1.26,4.43,4.74,7,35,101,4.9
AL,Barbour,2016,13,1.62,3.66,3.78,1,9,3,7.69
AL,Barbour,2017,20,1.55,3.95,4.02,3,10,7,15.0
AL,Barbour,2018,24,1.38,4.05,4.08,5,13,6,20.83
AL,Barbour,2019,14,1.43,4.83,4.92,5,5,4,35.71
AL,Barbour,2020,10,1.0,5.6,5.8,2,1,7,20.0
AL,Barbour,2021,9,1.44,6.44,6.78,1,3,5,11.11
AL,Barbour,2022,6,1.0,5.83,6.0,1,3,2,16.67
AL,Bibb,2017,7,1.43,1.47,1.89,6,0,1,85.71
AL,Bibb,2018,24,1.88,2.94,3.25,6,6,12,25.0
AL,Bibb,2019,8,1.12,4.49,4.62,2,3,3,25.0
AL,Bibb,2020,9,1.56,12.0,12.11,3,2,4,33.33
AL,Bibb,2021,3,1.0,2.33,2.67,2,0,1,66.67
AL,Blount,2017,22,1.73,3.55,3.61,3,11,8,13.64
AL,Blount,2018,28,1.18,2.43,2.46,4,7,17,14.29
AL,Blount,2019,27,1.52,2.85,2.85,6,11,10,22.22
AL,Blount,2020,7,1.14,7.43,7.29,0,1,6,0.0
AL,Blount,2021,8,0.62,4.0,4.12,0,0,8,0.0
AL,Blount,2022,1,1.0,3.0,4.0,0,0,1,0.0
AL,Bullock,2017,1,1.0,9.17,9.05,0,0,1,0.0
AL,Bullock,2018,21,1.62,6.45,6.47,11,6,4,52.38
AL,Bullock,2019,6,1.33,11.73,11.73,2,1,3,33.33
AL,Bullock,2020,6,1.17,6.5,6.67,2,2,2,33.33
AL,Bullock,2021,4,1.0,4.25,4.0,0,1,3,0.0
AL,Bullock,2022,1,1.0,7.0,7.0,0,0,1,0.0
AL,Butler,2017,9,1.22,2.5,2.63,0,4,5,0.0
AL,Butler,2018,84,1.48,2.92,3.0,9,25,50,10.71
AL,Butler,2019,75,1.55,1.94,1.95,44,6,25,58.67
AL,Butler,2020,14,1.29,5.79,5.79,1,4,9,7.14
AL,Butler,2021,29,1.34,4.17,4.21,3,11,15,10.34
AL,Butler,2022,13,1.92,3.46,3.46,4,7,2,30.77
AL,Calhoun,2017,23,1.61,3.67,3.73,6,6,11,26.09
AL,Calhoun,2018,67,1.72,7.66,7.7,20,28,19,29.85
AL,Calhoun,2019,29,1.1,6.15,6.22,14,7,8,48.28
AL,Calhoun,2020,11,1.18,7.36,7.45,5,1,5,45.45
AL,Calhoun,2021,30,1.37,5.07,5.3,2,12,16,6.67
AL,Calhoun,2022,4,1.25,4.75,4.75,0,1,3,0.0
AL,Chambers,2016,2,1.5,0.46,0.51,1,1,0,50.0
AL,Chambers,2017,20,1.6,4.73,4.75,8,3,9,40.0
AL,Chambers,2018,18,1.22,2.84,2.89,1,4,13,5.56
AL,Chambers,2019,6,1.17,8.68,8.68,2,3,1,33.33
AL,Chambers,2020,15,1.6,6.8,6.8,3,5,7,20.0
AL,Chambers,2021,3,1.33,4.0,4.0,0,1,2,0.0
AL,Chambers,2022,3,2.0,9.67,9.67,0,2,1,0.0
AL,Cherokee,2017,11,1.73,5.2,5.25,3,5,3,27.27
AL,Cherokee,2018,12,1.67,7.24,7.43,3,4,5,25.0
AL,Cherokee,2019,8,1.75,8.03,8.05,2,4,2,25.0
AL,Cherokee,2020,4,1.25,13.75,14.25,1,2,1,25.0
AL,Cherokee,2021,3,1.67,6.67,6.67,1,0,2,33.33
AL,Cherokee,2022,4,1.25,5.75,5.75,0,1,3,0.0
AL,Chilton,2017,40,1.7,3.39,3.52,2,9,29,5.0
AL,Chilton,2018,99,1.55,3.82,3.99,5,23,71,5.05
AL,Chilton,2019,102,1.32,3.3,3.39,28,14,60,27.45
AL,Chilton,2020,26,1.42,7.46,7.5,2,9,15,7.69
AL,Chilton,2021,79,1.35,3.8,3.86,0,23,56,0.0
AL,Chilton,2022,38,1.61,6.45,6.45,2,14,22,5.26
AL,Choctaw,2017,4,1.25,2.35,2.35,0,0,4,0.0
AL,Choctaw,2018,10,1.1,2.64,2.65,1,4,5,10.0
AL,Choctaw,2019,6,0.83,8.22,8.56,0,3,3,0.0
AL,Choctaw,2020,6,0.83,4.5,4.67,0,0,6,0.0
AL,Choctaw,2021,2,1.0,4.5,4.5,0,1,1,0.0
AL,Choctaw,2022,3,0.67,6.0,5.67,0,2,1,0.0
AL,Clarke,2017,22,1.55,4.71,4.72,1,8,13,4.55
AL,Clarke,2018,37,1.49,3.71,3.74,3,10,24,8.11
AL,Clarke,2019,17,1.12,4.91,4.99,4,5,8,23.53
AL,Clarke,2020,11,1.36,5.36,5.64,2,2,7,18.18
AL,Clarke,2021,8,1.38,4.38,4.38,1,2,5,12.5
AL,Clarke,2022,3,1.67,10.0,10.0,0,1,2,0.0
AL,Clay,2017,1,2.0,0.0,0.03,1,0,0,100.0
AL,Clay,2018,4,1.25,4.46,4.48,0,0,4,0.0
AL,Clay,2019,2,1.0,4.5,5.0,0,0,2,0.0
AL,Clay,2020,3,0.67,3.67,4.0,1,1,1,33.33
AL,Clay,2021,2,0.5,4.0,4.0,0,0,2,0.0
AL,Cleburne,2017,10,1.5,5.11,5.12,0,6,4,0.0
AL,Cleburne,2018,20,1.4,2.72,2.72,3,0,17,15.0
AL,Cleburne,2019,28,1.57,3.45,3.45,8,5,15,28.57
AL,Cleburne,2020,18,1.39,8.83,8.83,0,11,7,0.0
AL,Cleburne,2021,5,1.6,5.8,6.2,0,3,2,0.0
AL,Cleburne,2022,2,2.0,7.5,7.5,0,1,1,0.0
AL,Coffee,2017,6,1.67,7.39,7.48,5,1,0,83.33
AL,Coffee,2018,21,1.62,5.48,5.55,15,4,2,71.43
AL,Coffee,2019,27,1.11,5.45,5.57,11,9,7,40.74
AL,Coffee,2020,9,0.89,4.67,4.78,1,4,4,11.11
AL,Coffee,2021,9,1.0,4.67,5.11,2,3,4,22.22
AL,Coffee,2022,2,1.0,8.0,8.0,1,1,0,50.0
AL,Colbert,2017,17,1.47,3.83,3.88,5,7,5,29.41
AL,Colbert,2018,46,1.3,3.62,3.68,13,21,12,28.26
AL,Colbert,2019,30,1.07,4.27,4.37,8,3,19,26.67
AL,Colbert,2020,14,0.93,5.86,5.86,0,5,9,0.0
AL,Colbert,2021,21,1.1,2.1,2.24,1,17,3,4.76
AL,Colbert,2022,22,0.77,5.18,5.32,0,6,16,0.0
AL,Conecuh,2017,5,1.8,3.47,3.47,1,2,2,20.0
AL,Conecuh,2018,51,1.76,3.87,3.88,7,14,30,13.73
AL,Conecuh,2019,95,1.64,2.88,2.89,31,12,52,32.63
AL,Conecuh,2020,8,1.25,7.12,7.12,4,2,2,50.0
AL,Conecuh,2021,13,1.46,5.54,5.69,2,3,8,15.38
AL,Conecuh,2022,9,1.0,3.89,4.0,1,3,5,11.11
AL,Coosa,2017,10,1.2,3.48,3.49,1,0,9,10.0
AL,Coosa,2018,6,1.17,3.09,3.09,1,0,5,16.67
AL,Coosa,2019,15,1.27,4.71,4.71,2,4,9,13.33
AL,Coosa,2020,4,0.75,5.0,5.25,1,0,3,25.0
AL,Coosa,2021,2,0.5,5.0,5.5,2,0,0,100.0
AL,Coosa,2022,1,0.0,4.0,4.0,0,0,1,0.0
AL,Covington,2017,15,1.67,4.49,4.55,5,4,6,33.33
AL,Covington,2018,30,1.6,6.12,6.18,4,11,15,13.33
AL,Covington,2019,20,0.95,6.16,6.31,4,7,9,20.0
AL,Covington,2020,16,0.56,3.38,3.56,4,5,7,25.0
AL,Covington,2021,2,1.0,8.0,8.5,2,0,0,100.0
AL,Covington,2022,3,0.33,2.0,2.67,0,1,2,0.0
AL,Crenshaw,2017,7,1.57,6.58,6.61,2,2,3,28.57
AL,Crenshaw,2018,38,1.34,5.34,5.38,5,16,17,13.16
AL,Crenshaw,2019,4,2.0,8.94,8.94,2,2,0,50.0
AL,Crenshaw,2020,10,1.0,7.4,7.5,2,4,4,20.0
AL,Crenshaw,2021,1,2.0,7.0,7.0,0,0,1,0.0
AL,Cullman,2017,67,1.37,3.02,3.18,14,26,27,20.9
AL,Cullman,2018,149,1.3,3.58,3.75,27,63,59,18.12
AL,Cullman,2019,116,1.5,3.05,3.1,43,14,59,37.07
AL,Cullman,2020,40,1.25,5.0,5.22,6,11,23,15.0
AL,Cullman,2021,45,1.53,4.76,4.84,3,15,27,6.67
AL,Cullman,2022,21,1.67,5.52,5.57,1,6,14,4.76
AL,Dale,2017,12,1.5,5.03,5.13,1,4,7,8.33
AL,Dale,2018,27,1.41,2.74,2.93,3,6,18,11.11
AL,Dale,2019,30,1.07,3.26,3.34,6,7,17,20.0
AL,Dale,2020,13,0.69,4.15,4.54,2,5,6,15.38
AL,Dale,2021,2,0.0,4.0,4.0,0,0,2,0.0
AL,Dale,2022,3,1.33,3.0,3.0,0,3,0,0.0
AL,Dallas,2017,15,1.2,6.97,7.22,0,6,9,0.0
AL,Dallas,2018,30,1.53,5.79,5.81,5,8,17,16.67
AL,Dallas,2019,24,1.33,5.69,5.83,5,5,14,20.83
AL,Dallas,2020,9,0.89,6.67,6.78,1,4,4,11.11
AL,Dallas,2021,5,1.4,4.8,6.0,1,3,1,20.0
AL,Dallas,2022,1,1.0,1.0,1.0,0,0,1,0.0
AL,De Kalb,2017,1,1.0,0.0,0.05,0,1,0,0.0
AL,De Kalb,2018,1,1.0,0.8,0.83,0,0,1,0.0
AL,DeKalb,2017,9,1.44,3.78,3.85,1,4,4,11.11
AL,DeKalb,2018,27,1.7,3.21,3.52,7,12,8,25.93
AL,DeKalb,2019,53,1.57,2.7,2.78,21,18,14,39.62
AL,DeKalb,2020,18,1.28,7.39,7.94,1,11,6,5.56
AL,DeKalb,2021,21,1.52,2.86,3.9,0,14,7,0.0
AL,DeKalb,2022,7,1.71,6.29,6.43,0,3,4,0.0
AL,Dekalb,2022,13,0.92,4.92,4.92,3,5,5,23.08
AL,Elmore,2017,15,1.33,4.31,4.6,6,3,6,40.0
AL,Elmore,2018,47,1.3,3.34,3.63,3,17,27,6.38
AL,Elmore,2019,32,1.12,3.11,3.22,13,10,9,40.62
AL,Elmore,2020,24,0.62,3.21,3.46,6,13,5,25.0
AL,Elmore,2021,12,1.0,4.58,5.5,1,7,4,8.33
AL,Elmore,2022,8,0.75,7.38,7.62,1,2,5,12.5
AL,Escambia,2017,38,1.37,2.62,2.7,4,9,25,10.53
AL,Escambia,2018,39,1.72,3.72,3.77,7,5,27,17.95
AL,Escambia,2019,84,1.57,2.85,2.87,32,7,45,38.1
AL,Escambia,2020,24,1.46,5.25,5.46,3,7,14,12.5
AL,Escambia,2021,10,0.7,3.5,3.5,2,1,7,20.0
AL,Escambia,2022,7,1.29,3.0,3.0,2,2,3,28.57
AL,Etowah,2017,27,1.59,3.76,4.23,7,15,5,25.93
AL,Etowah,2018,97,1.71,3.64,4.12,27,40,30,27.84
AL,Etowah,2019,43,1.26,2.35,2.7,17,14,12,39.53
AL,Etowah,2020,11,0.91,4.64,4.91,0,6,5,0.0
AL,Etowah,2021,21,0.57,4.14,4.48,2,10,9,9.52
AL,Etowah,2022,13,1.23,6.69,6.77,2,10,1,15.38
AL,Fayette,2017,2,1.5,4.46,4.93,0,0,2,0.0
AL,Fayette,2018,5,1.4,4.91,4.93,0,3,2,0.0
AL,Fayette,2019,7,1.0,9.77,9.78,2,1,4,28.57
AL,Fayette,2020,7,0.71,5.57,5.71,1,1,5,14.29
AL,Fayette,2022,1,1.0,5.0,5.0,0,1,0,0.0
AL,Franklin,2017,6,1.5,7.04,7.17,2,1,3,33.33
AL,Franklin,2018,9,1.11,2.04,2.11,2,4,3,22.22
AL,Franklin,2019,11,0.91,6.49,6.67,1,4,6,9.09
AL,Franklin,2020,6,1.17,5.5,6.5,1,2,3,16.67
AL,Franklin,2021,11,1.09,3.45,3.55,1,5,5,9.09
AL,Franklin,2022,3,0.67,3.0,5.67,0,2,1,0.0
AL,Geneva,2017,6,1.33,4.7,4.77,1,1,4,16.67
AL,Geneva,2018,12,1.08,7.45,7.5,2,1,9,16.67
AL,Geneva,2019,14,0.93,5.29,5.32,0,2,12,0.0
AL,Geneva,2020,4,0.75,5.5,5.5,1,2,1,25.0
AL,Geneva,2021,2,0.5,4.5,5.0,1,0,1,50.0
AL,Geneva,2022,4,0.5,5.75,5.75,0,2,2,0.0
AL,Greene,2017,3,1.67,10.99,11.17,2,0,1,66.67
AL,Greene,2018,20,1.55,4.03,4.06,5,5,10,25.0
AL,Greene,2019,15,1.4,4.66,4.73,3,3,9,20.0
AL,Greene,2020,14,1.64,6.43,6.43,0,5,9,0.0
AL,Greene,2021,6,1.17,4.17,4.17,0,2,4,0.0
AL,Greene,2022,7,1.29,5.71,6.0,0,3,4,0.0
AL,Hale,2017,4,1.0,5.91,6.02,0,1,3,0.0
AL,Hale,2018,12,1.08,7.23,7.28,1,4,7,8.33
AL,Hale,2019,7,0.43,3.06,3.18,2,2,3,28.57
AL,Hale,2020,12,0.5,4.92,4.92,2,0,10,16.67
AL,Hale,2021,1,0.0,4.0,4.0,0,0,1,0.0
AL,Hale,2022,4,0.25,3.75,4.0,0,1,3,0.0
AL,Henry,2016,1,0.0,0.0,0.0,0,0,1,0.0
AL,Henry,2017,5,1.4,4.6,4.64,0,1,4,0.0
AL,Henry,2018,22,1.45,3.23,3.24,4,4,14,18.18
AL,Henry,2019,7,1.57,10.39,10.53,4,1,2,57.14
AL,Henry,2020,13,0.77,4.77,5.0,3,3,7,23.08
AL,Henry,2021,8,1.0,5.5,5.88,0,0,8,0.0
AL,Henry,2022,2,1.0,6.0,6.0,0,1,1,0.0
AL,Houston,2017,66,1.29,1.94,2.24,10,30,26,15.15
AL,Houston,2018,133,1.28,2.17,2.55,28,79,26,21.05
AL,Houston,2019,51,1.29,3.73,3.95,20,18,13,39.22
AL,Houston,2020,34,1.76,1.47,3.35,0,27,7,0.0
AL,Houston,2021,44,1.73,2.2,3.7,0,30,14,0.0
AL,Houston,2022,3,1.0,4.0,4.67,1,1,1,33.33
AL,Jackson,2017,20,1.5,4.38,4.42,9,5,6,45.0
AL,Jackson,2018,27,1.41,5.57,5.71,6,11,10,22.22
AL,Jackson,2019,37,1.22,3.93,4.0,10,11,16,27.03
AL,Jackson,2020,29,1.24,5.52,5.55,1,10,18,3.45
AL,Jackson,2021,7,0.71,4.71,4.71,2,3,2,28.57
AL,Jackson,2022,14,0.57,4.14,4.21,0,1,13,0.0
AL,Jefferson,2017,384,1.4,3.13,3.99,121,180,83,31.51
AL,Jefferson,2018,941,1.45,3.15,4.17,258,433,250,27.42
AL,Jefferson,2019,781,0.99,2.59,3.48,242,290,249,30.99
AL,Jefferson,2020,335,0.74,2.5,3.75,78,196,61,23.28
AL,Jefferson,2021,630,1.1,3.13,3.91,100,315,215,15.87
AL,Jefferson,2022,323,1.5,4.69,5.31,69,115,139,21.36
AL,Lamar,2017,3,2.0,0.0,0.01,0,3,0,0.0
AL,Lamar,2018,5,1.8,3.04,3.25,0,3,2,0.0
AL,Lamar,2019,1,2.0,12.3,12.3,1,0,0,100.0
AL,Lamar,2020,5,1.2,7.8,7.6,1,2,2,20.0
AL,Lamar,2021,4,0.75,5.0,5.25,0,1,3,0.0
AL,Lauderdale,2017,10,1.4,2.17,2.45,1,3,6,10.0
AL,Lauderdale,2018,45,1.33,3.35,3.62,13,15,17,28.89
AL,Lauderdale,2019,24,1.12,6.07,6.22,10,5,9,41.67
AL,Lauderdale,2020,9,0.56,5.67,6.33,2,3,4,22.22
AL,Lauderdale,2021,28,0.61,2.86,3.57,2,21,5,7.14
AL,Lauderdale,2022,6,1.0,4.67,4.83,1,2,3,16.67
AL,Lawrence,2017,7,1.43,3.5,3.54,2,2,3,28.57
AL,Lawrence,2018,22,1.5,4.48,4.5,5,9,8,22.73
AL,Lawrence,2019,24,1.25,4.02,4.03,10,6,8,41.67
AL,Lawrence,2020,7,1.0,6.0,5.86,0,1,6,0.0
AL,Lawrence,2021,4,1.5,6.0,6.25,1,1,2,25.0
AL,Lawrence,2022,5,1.0,7.4,7.8,1,1,3,20.0
AL,Lee,2016,2,2.0,3.51,3.54,0,2,0,0.0
AL,Lee,2017,55,1.35,2.31,2.83,18,21,16,32.73
AL,Lee,2018,68,1.37,3.71,4.0,21,27,20,30.88
AL,Lee,2019,57,1.19,3.3,3.5,27,20,10,47.37
AL,Lee,2020,23,1.35,2.78,3.65,7,14,2,30.43
AL,Lee,2021,36,1.33,2.56,3.14,8,18,10,22.22
AL,Lee,2022,19,1.53,5.47,5.84,6,9,4,31.58
AL,Limestone,2017,37,1.46,3.51,3.92,2,9,26,5.41
AL,Limestone,2018,138,1.54,4.01,4.32,18,37,83,13.04
AL,Limestone,2019,155,1.28,2.83,3.08,62,34,59,40.0
AL,Limestone,2020,68,1.32,4.03,4.4,5,41,22,7.35
AL,Limestone,2021,96,1.31,3.92,4.65,19,29,48,19.79
AL,Limestone,2022,39,0.87,4.0,4.72,7,9,23,17.95
AL,Lowndes,2017,4,1.75,3.09,3.13,0,1,3,0.0
AL,Lowndes,2018,47,1.57,3.3,3.52,10,9,28,21.28
AL,Lowndes,2019,51,1.47,1.85,1.85,29,4,18,56.86
AL,Lowndes,2020,22,1.05,4.27,4.27,1,9,12,4.55
AL,Lowndes,2021,19,1.11,3.21,3.26,2,6,11,10.53
AL,Lowndes,2022,11,1.91,3.91,4.0,2,3,6,18.18
AL,Macon,2017,3,1.0,0.78,0.77,1,2,0,33.33
AL,Macon,2018,17,1.71,6.54,7.03,5,6,6,29.41
AL,Macon,2019,1,0.0,4.0,4.0,0,0,1,0.0
AL,Macon,2020,8,1.25,5.88,5.88,0,3,5,0.0
AL,Macon,2021,13,1.15,4.77,4.77,0,2,11,0.0
AL,Macon,2022,16,2.0,9.81,9.88,1,7,8,6.25
AL,Madison,2017,103,1.18,2.43,3.3,22,62,19,21.36
AL,Madison,2018,308,1.22,3.11,3.64,92,128,88,29.87
AL,Madison,2019,233,0.92,3.45,4.05,72,101,60,30.9
AL,Madison,2020,88,1.02,3.93,4.53,19,54,15,21.59
AL,Madison,2021,128,0.95,3.52,4.15,9,76,43,7.03
AL,Madison,2022,82,0.99,4.87,5.55,11,46,25,13.41
AL,Marengo,2017,21,1.14,5.66,5.7,0,5,16,0.0
AL,Marengo,2018,32,1.5,4.36,4.41,1,11,20,3.12
AL,Marengo,2019,42,1.29,4.55,4.61,2,7,33,4.76
AL,Marengo,2020,18,0.94,6.78,6.78,1,4,13,5.56
AL,Marengo,2021,5,0.8,5.0,6.2,0,2,3,0.0
AL,Marengo,2022,8,1.12,6.38,5.88,0,3,5,0.0
AL,Marion,2017,7,1.57,3.12,3.15,2,3,2,28.57
AL,Marion,2018,22,1.55,7.13,7.13,5,7,10,22.73
AL,Marion,2019,17,1.0,2.14,2.14,10,4,3,58.82
AL,Marion,2020,19,0.89,6.84,7.05,8,5,6,42.11
AL,Marion,2021,7,0.86,4.0,4.29,0,4,3,0.0
AL,Marion,2022,1,1.0,5.0,5.0,1,0,0,100.0
AL,Marshall,2017,25,1.24,2.73,2.86,6,9,10,24.0
AL,Marshall,2018,51,1.47,3.2,3.35,14,22,15,27.45
AL,Marshall,2019,29,1.17,4.83,4.93,5,10,14,17.24
AL,Marshall,2020,24,1.38,3.54,4.21,1,13,10,4.17
AL,Marshall,2021,25,1.36,2.32,3.04,0,16,9,0.0
AL,Marshall,2022,9,1.56,5.33,5.89,0,7,2,0.0
AL,Mobile,2017,177,1.25,3.03,3.39,52,65,60,29.38
AL,Mobile,2018,516,1.26,2.68,3.09,154,173,189,29.84
AL,Mobile,2019,301,1.24,3.63,4.0,97,100,104,32.23
AL,Mobile,2020,131,0.8,3.26,4.17,19,73,39,14.5
AL,Mobile,2021,207,1.06,3.74,4.4,21,117,69,10.14
AL,Mobile,2022,116,1.4,5.33,6.03,14,55,47,12.07
AL,Monroe,2017,4,1.75,6.1,6.18,2,0,2,50.0
AL,Monroe,2018,20,1.05,3.82,4.03,3,9,8,15.0
AL,Monroe,2019,15,1.13,7.5,7.5,4,6,5,26.67
AL,Monroe,2020,5,1.2,7.6,7.8,0,2,3,0.0
AL,Monroe,2021,3,1.33,6.33,6.33,1,1,1,33.33
AL,Montgomery,2017,64,1.2,1.95,2.34,15,29,20,23.44
AL,Montgomery,2018,232,1.3,2.71,2.98,52,101,79,22.41
AL,Montgomery,2019,139,1.31,3.07,3.38,36,61,42,25.9
AL,Montgomery,2020,59,1.27,5.34,5.61,13,25,21,22.03
AL,Montgomery,2021,63,1.17,4.17,4.44,12,28,23,19.05
AL,Montgomery,2022,35,1.57,6.6,7.51,8,17,10,22.86
AL,Morgan,2017,84,1.57,3.78,3.84,22,40,22,26.19
AL,Morgan,2018,117,1.17,2.83,2.92,17,53,47,14.53
AL,Morgan,2019,71,1.42,4.51,4.59,21,18,32,29.58
AL,Morgan,2020,33,1.24,4.09,4.3,3,14,16,9.09
AL,Morgan,2021,43,1.21,3.79,4.07,4,25,14,9.3
AL,Morgan,2022,27,1.41,4.81,5.15,2,14,11,7.41
AL,Perry,2017,1,2.0,6.95,6.93,0,0,1,0.0
AL,Perry,2018,12,1.42,5.43,5.43,5,2,5,41.67
AL,Perry,2019,10,0.6,6.2,6.2,3,2,5,30.0
AL,Perry,2020,7,1.0,7.29,7.57,0,2,5,0.0
AL,Pickens,2017,11,1.0,3.51,3.51,0,2,9,0.0
AL,Pickens,2018,8,1.62,9.68,9.78,3,2,3,37.5
AL,Pickens,2019,20,1.05,3.06,3.08,4,5,11,20.0
AL,Pickens,2020,5,1.0,5.4,5.4,0,2,3,0.0
AL,Pickens,2021,5,1.2,8.0,8.2,3,0,2,60.0
AL,Pickens,2022,4,1.25,8.5,8.75,0,1,3,0.0
AL,Pike,2017,5,0.8,1.75,1.8,1,3,1,20.0
AL,Pike,2018,55,1.36,3.9,4.16,12,13,30,21.82
AL,Pike,2019,18,0.89,3.65,3.87,8,1,9,44.44
AL,Pike,2020,13,1.0,5.85,6.08,4,4,5,30.77
AL,Pike,2021,5,1.0,5.2,5.6,2,1,2,40.0
AL,Pike,2022,7,0.71,3.71,3.71,0,2,5,0.0
AL,Randolph,2017,33,1.55,4.85,4.87,9,3,21,27.27
AL,Randolph,2018,30,1.5,4.3,4.35,5,2,23,16.67
AL,Randolph,2019,9,1.22,4.12,4.3,2,1,6,22.22
AL,Randolph,2020,4,1.25,8.25,8.25,2,1,1,50.0
AL,Randolph,2021,2,1.5,5.0,4.5,0,1,1,0.0
AL,Randolph,2022,2,1.0,9.5,9.5,0,1,1,0.0
AL,Russell,2016,15,1.27,1.45,1.77,2,11,2,13.33
AL,Russell,2017,29,1.34,3.34,3.63,7,14,8,24.14
AL,Russell,2018,42,1.43,4.17,4.28,11,14,17,26.19
AL,Russell,2019,10,1.3,4.99,5.2,7,2,1,70.0
AL,Russell,2020,6,1.67,5.17,5.5,1,4,1,16.67
AL,Russell,2021,5,1.2,4.4,5.0,2,1,2,40.0
AL,Russell,2022,3,0.67,3.67,3.67,0,1,2,0.0
AL,Saint Clair,2017,9,1.22,1.63,2.39,0,3,6,0.0
AL,Saint Clair,2018,4,2.0,2.93,3.31,1,1,2,25.0
AL,Shelby,2017,194,1.2,2.79,4.04,20,92,82,10.31
AL,Shelby,2018,728,1.16,2.94,3.95,106,329,293,14.56
AL,Shelby,2019,359,0.91,2.37,3.55,59,144,156,16.43
AL,Shelby,2020,122,1.16,3.77,4.76,20,65,37,16.39
AL,Shelby,2021,369,1.24,4.14,4.98,49,190,130,13.28
AL,Shelby,2022,148,1.28,5.17,5.89,19,75,54,12.84
AL,St Clair,2022,12,2.08,9.25,9.25,1,9,2,8.33
AL,St. Clair,2017,8,1.5,3.62,4.2,2,2,4,25.0
AL,St. Clair,2018,116,1.69,2.86,2.95,16,40,60,13.79
AL,St. Clair,2019,64,1.45,4.31,4.36,13,23,28,20.31
AL,St. Clair,2020,20,0.95,6.95,7.05,4,6,10,20.0
AL,St. Clair,2021,33,1.33,5.42,5.48,2,12,19,6.06
AL,St. Clair,2022,10,1.9,8.6,8.6,2,4,4,20.0
AL,Sumter,2017,8,1.5,4.04,4.04,1,3,4,12.5
AL,Sumter,2018,27,1.85,6.81,6.82,5,13,9,18.52
AL,Sumter,2019,16,1.12,5.25,5.18,4,4,8,25.0
AL,Sumter,2020,15,0.87,5.93,5.93,3,6,6,20.0
AL,Sumter,2021,3,0.67,4.0,4.0,0,0,3,0.0
AL,Sumter,2022,2,1.5,5.5,5.5,0,1,1,0.0
AL,Talladega,2017,14,1.5,4.3,4.39,3,5,6,21.43
AL,Talladega,2018,62,1.48,4.74,4.85,15,23,24,24.19
AL,Talladega,2019,30,1.1,4.25,4.25,6,11,13,20.0
AL,Talladega,2020,6,1.67,4.17,4.17,0,2,4,0.0
AL,Talladega,2021,7,1.57,6.14,6.29,0,4,3,0.0
AL,Talladega,2022,8,1.38,5.88,6.12,0,4,4,0.0
AL,Tallapoosa,2017,14,1.14,2.54,2.7,2,3,9,14.29
AL,Tallapoosa,2018,19,1.53,4.12,4.15,0,6,13,0.0
AL,Tallapoosa,2019,16,1.19,3.79,3.81,7,2,7,43.75
AL,Tallapoosa,2020,10,0.6,4.2,4.3,1,6,3,10.0
AL,Tallapoosa,2022,1,1.0,6.0,6.0,0,0,1,0.0
AL,Tuscaloosa,2017,64,1.16,2.83,3.83,24,32,8,37.5
AL,Tuscaloosa,2018,212,1.27,4.01,4.69,66,110,36,31.13
AL,Tuscaloosa,2019,151,1.05,3.42,3.97,51,72,28,33.77
AL,Tuscaloosa,2020,42,1.02,3.55,4.93,12,17,13,28.57
AL,Tuscaloosa,2021,91,1.0,3.52,4.46,20,62,9,21.98
AL,Tuscaloosa,2022,48,1.23,6.75,7.31,18,21,9,37.5
AL,Walker,2017,5,1.6,3.58,4.43,2,2,1,40.0
AL,Walker,2018,84,1.55,4.96,5.05,38,21,25,45.24
AL,Walker,2019,42,1.14,4.58,4.6,19,15,8,45.24
AL,Walker,2020,9,0.56,8.44,8.67,2,6,1,22.22
AL,Walker,2021,12,0.75,3.42,3.75,2,4,6,16.67
AL,Walker,2022,1,2.0,5.0,5.0,1,0,0,100.0
AL,Washington,2017,1,0.0,0.97,1.0,0,0,1,0.0
AL,Washington,2018,47,1.77,5.52,5.53,0,14,33,0.0
AL,Washington,2019,20,1.4,5.03,5.04,7,5,8,35.0
AL,Washington,2020,5,1.6,11.6,11.6,3,1,1,60.0
AL,Washington,2022,1,1.0,11.0,12.0,0,1,0,0.0
AL,Wilcox,2017,15,1.27,4.82,4.93,1,3,11,6.67
AL,Wilcox,2018,16,1.56,6.87,7.1,1,7,8,6.25
AL,Wilcox,2019,3,1.0,10.74,10.73,0,1,2,0.0
AL,Wilcox,2020,10,1.0,8.3,8.2,0,5,5,0.0
AL,Wilcox,2021,5,1.0,8.0,8.0,0,2,3,0.0
AL,Wilcox,2022,2,0.5,4.5,4.5,0,0,2,0.0
