State,County,Year,Cultivated Cropland,Noncultivated Cropland,Pastureland,Rangeland,Forsestland,Minor Land,Urban Builtup,Rural Transportation,Small Water,Large Water,Federal Land,CRP Land
New York,Bronx,2019,0.0,0.0,0.0,0.0,2.8986,0.0,82.3188,1.4493,2.029,11.3043,0.0,0.0
New York,Bronx,2020,0.0,0.0,0.0,0.0,2.8986,0.0,82.3188,1.4493,2.029,11.3043,0.0,0.0
New York,Bronx,2021,0.0,0.0,0.0,0.0,2.8986,0.0,82.3188,1.4493,2.029,11.3043,0.0,0.0
New York,Bronx,2022,0.0,0.0,0.0,0.0,2.8986,0.0,82.3188,1.4493,2.029,11.3043,0.0,0.0
